CAMIS,ZIPCODE,INSPECTION_DATE,SCORE,GRADE
50081677,10023,1/15/2020,20,B
50010974,10017,12/19/2019,10,A
50065460,10032,2/18/2020,9,A
50103898,10019,4/21/2022,0,A
50086128,11220,12/12/2018,0,A
50010974,10017,6/21/2022,46,C
40887518,11215,7/30/2021,8,A
50062660,11231,12/12/2019,25,B
50073613,10021,7/29/2022,37,C
40637551,11219,6/1/2016,19,B
40365904,10013,1/24/2020,26,B
50068260,10467,8/10/2022,24,B
50110565,11104,8/13/2021,5,A
50062556,10021,4/4/2022,56,C
50067469,10029,10/9/2019,14,B
50008280,11420,9/1/2017,16,B
40399329,10003,4/3/2018,37,C
50045058,10121,5/29/2018,0,A
41588813,11220,9/20/2022,17,B
50057268,11236,4/13/2022,25,B
50005889,11211,4/4/2019,13,A
41717742,10027,12/20/2017,0,A
41612730,10456,6/12/2018,10,A
50098128,10009,1/29/2020,10,A
40385057,11209,9/14/2016,16,B
50005071,10471,9/5/2018,13,A
50040894,10461,10/23/2019,9,A
50122964,10018,6/22/2022,27,B
50087139,11226,9/28/2022,0,A
50093967,11231,7/9/2019,22,B
50091553,11420,5/3/2022,12,A
50085772,11220,8/2/2022,24,B
50115231,10469,4/19/2022,12,A
50075519,11417,9/1/2022,53,C
50115262,10034,5/23/2022,20,B
50052205,11224,6/27/2018,0,A
50114913,11421,12/16/2021,18,B
50045803,11416,10/7/2019,9,A
41687110,10312,7/25/2019,12,A
41605850,10001,2/11/2020,34,C
41694378,11236,4/21/2022,0,A
50093792,11103,7/28/2022,29,C
50007015,11218,4/11/2022,0,A
41377474,10456,8/25/2019,0,A
50058708,11212,4/11/2019,7,A
50055391,11367,9/8/2022,40,C
41213051,11103,4/14/2022,7,A
50058868,11219,2/28/2022,18,B
50059256,10312,7/2/2018,20,B
50096292,11354,2/3/2022,12,A
41699662,11223,3/4/2020,26,B
50000993,10453,3/17/2022,39,C
50102033,10453,8/30/2022,30,C
40705931,10011,1/5/2022,12,A
50002726,10011,4/18/2017,20,B
40396020,10011,7/2/2019,25,B
50011568,11101,3/29/2017,13,A
50005710,10016,7/3/2019,12,A
50064506,11103,12/12/2019,12,A
40393977,11212,1/23/2020,27,B
50061148,10451,8/16/2018,11,A
50084368,10014,12/17/2019,24,B
41492556,11209,9/6/2019,33,C
50012264,11222,2/21/2017,16,B
50078942,10012,5/1/2019,0,A
50040886,11222,3/4/2020,24,B
50118433,11234,1/31/2022,0,A
50112271,11357,10/5/2021,34,C
40720511,10306,9/8/2021,18,B
50004578,10010,12/18/2019,37,C
41512259,11355,1/10/2022,0,A
41462542,11215,6/8/2019,0,A
50119911,10451,5/31/2022,42,C
50099168,11220,11/13/2019,0,A
50045092,10121,3/16/2017,0,A
41563809,10035,3/6/2019,12,A
50089785,11201,8/28/2019,9,A
50070626,11201,3/10/2020,11,A
41450604,11366,1/3/2022,24,B
50078979,11201,8/28/2019,9,A
50073361,11238,8/4/2022,38,C
50094666,11373,10/2/2019,11,A
50051282,10457,12/6/2019,27,B
50075916,11235,7/9/2022,10,A
50057062,10013,11/9/2016,0,A
