CAMIS,DBA,ZIPCODE,CUISINE_DESCRIPTION,INSPECTION_DATE,SCORE,Latitude,Longitude,GRADE
30112340,WENDY'S,11225,Hamburgers,7/20/2021,10,40.66265152,-73.96208137,A
30112340,WENDY'S,11225,Hamburgers,8/5/2021,16,40.66265152,-73.96208137,B
30112340,WENDY'S,11225,Hamburgers,7/13/2022,11,40.66265152,-73.96208137,A
30191841,DJ REYNOLDS PUB AND RESTAURANT,10019,Irish,1/4/2022,12,40.76732571,-73.98431042,A
40356018,RIVIERA CATERERS,11224,American,2/1/2022,7,40.57992037,-73.98209025,A
40356483,WILKEN'S FINE FOOD,11234,Sandwiches,7/30/2021,14,40.62011159,-73.90698949,B
40356483,WILKEN'S FINE FOOD,11234,Sandwiches,1/24/2022,9,40.62011159,-73.90698949,A
40356483,WILKEN'S FINE FOOD,11234,Sandwiches,8/3/2022,21,40.62011159,-73.90698949,B
40356483,WILKEN'S FINE FOOD,11234,Sandwiches,8/19/2022,2,40.62011159,-73.90698949,A
40356731,TASTE THE TROPICS ICE CREAM,11226,Frozen Desserts,8/20/2021,13,40.64079502,-73.94848798,A
40357217,WILD ASIA,10460,American,7/28/2021,10,40.85055596,-73.88245143,A
40359480,1 EAST 66TH STREET KITCHEN,10065,American,5/3/2022,9,40.76854691,-73.96958058,A
40359705,NATHAN'S FAMOUS,11224,Hotdogs,2/10/2022,12,40.57553687,-73.98165226,A
40360045,SEUDA FOODS,11223,Jewish/Kosher,1/5/2022,12,40.60618692,-73.96546645,A
40360076,CARVEL,11218,Frozen Desserts,7/28/2021,2,40.64332972,-73.97818872,A
40360076,CARVEL,11218,Frozen Desserts,5/27/2022,2,40.64332972,-73.97818872,A
40361618,SAL'S DELI,11356,Sandwiches,7/26/2021,12,40.78167384,-73.83941598,A
40361618,SAL'S DELI,11356,Sandwiches,2/1/2022,5,40.78167384,-73.83941598,A
40361998,STEVE CHU'S DELI & GROCERY,11106,Sandwiches,8/11/2021,7,40.76457121,-73.93882546,A
40362264,P & S DELI GROCERY,10025,American,2/8/2022,17,40.79262064,-73.96770962,B
40362264,P & S DELI GROCERY,10025,American,8/16/2022,12,40.79262064,-73.96770962,A
40362274,ANGELIKA FILM CENTER,10012,American,2/14/2022,7,40.72574362,-73.99747811,A
40362432,HO MEI RESTAURANT,11368,Chinese,7/22/2021,8,40.75330591,-73.86429538,A
40362869,SHASHEMENE INT'L RESTAURANT,11203,Caribbean,3/9/2022,8,40.65198322,-73.92457494,A
40363298,CAFE METRO,10018,American,7/29/2021,10,40.75618542,-73.99056473,A
40363298,CAFE METRO,10018,American,8/19/2022,26,40.75618542,-73.99056473,B
40363298,CAFE METRO,10018,American,9/2/2022,2,40.75618542,-73.99056473,A
40363427,BAGELS N BUNS,10314,Sandwiches,8/11/2021,23,40.61026786,-74.14640121,B
