CAMIS,DBA,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,Latitude,Longitude,AvgScore
50107457,IKEA,9605,QUEENS BLVD,11374,3475073622,Scandinavian,40.73016255,-73.86241596,1.5
50110489,TIKKA MASALA,1057,JACKSON AVE,11101,9177678241,Indian,40.74261686,-73.95250491,3
50110683,LA CABANA,86-07,NORTHERN BOULEVARD,11372,7184143035,Spanish,40.75597089,-73.88147117,7.5
41511725,HOME MADE COOKING CAFE,504,BRIGHTON BEACH AVENUE,11235,7185130075,Russian,40.57743149,-73.96219474,22.33333333
50056245,MING KEE KITCHEN,237,GRAND ST STORE B,10002,2122192282,Chinese,40.71839578,-73.99466457,31.66666667
41710746,BURGERFI,240,EAST   82 STREET,10028,6466843172,Hamburgers,40.7758102,-73.95489663,2
50109065,TEXAS CHICKEN & BURGERS,730,BROADWAY,11206,7184271387,Chicken,40.70110869,-73.9425806,12.5
50112321,NOLITA COFFEE NYC,223,MOTT STREET,10012,6468339942,Coffee/Tea,40.72229337,-73.99520901,23.33333333
50109901,BK LOBSTER PROSPECT HEIGHTS,643,VANDERBILT AVENUE,11238,9292554520,Seafood,40.67784863,-73.96877848,29
50112733,TIANFU KING RESTAURANT,133-35,ROOSEVELT AVENUE,11354,9544717327,Chinese,40.758502,-73.83324181,23.25
50105958,MAMA LUISA'S RESTAURANT,17826,JAMAICA AVE,11432,7186643164,Tex-Mex,40.70807749,-73.78228022,4
50110736,CREDIT LIFE BAR & GRILL,1275,EDWARD L GRANT HIGHWAY,10452,6468211456,American,40.83802159,-73.9221876,10
50111177,WENDYS,420,86 STREET,11209,5613016257,Sandwiches,40.62244886,-74.02780939,13
50111805,OH K-DOG & EGG TOAST,70,7 AVENUE SOUTH,10014,9174091555,Korean,40.73197969,-74.00373448,10.25
50111988,CEDAR STAR CATERING,1326,NEWKIRK AVENUE,11230,9176273638,Middle Eastern,40.63480933,-73.96478864,20
50107993,PANINO RUSTICO,895,HUGUENOT AVENUE,10312,7188734134,Other,40.53253085,-74.19207907,2
50110468,SULLIVAN TAQUERIA,71,SULLIVAN STREET,10012,9176099779,Tex-Mex,40.72461822,-74.0038892,17.5
50112768,CUPKINS PLAY CAFE,20803,35TH AVE,11361,7188854423,Coffee/Tea,40.7674919,-73.77996609,8
40369675,WHITE CASTLE,4302,QUEENS BOULEVARD,11104,7187862475,Hamburgers,40.74345059,-73.92132771,5
40369782,MCDONALD'S,701,UTICA AVENUE,11203,7187780023,Hamburgers,40.6561812,-73.93084489,8.5
40370238,BURGER KING,6815,NORTHERN BOULEVARD,11377,7187794875,Hamburgers,40.75425192,-73.89781765,26.75
40372618,BURGER KING,154-05,ROCKAWAY BOULEVARD,11434,7185275044,Hamburgers,40.66793532,-73.78098428,15.66666667
40376290,KING'S ARMS RESTAURANT,500,FOREST AVENUE,10310,7184480326,American,40.63043625,-74.10698897,8.333333333
40389819,AUSTIN HOUSE,72-04,AUSTIN STREET,11375,7185442276,American,40.7192153,-73.84236287,11.5
40390163,5 BURRO CAFE,7205,AUSTIN STREET,11375,7185442984,Mexican,40.71924001,-73.84237002,5.5
40391498,PEKING RESTAURANT,58-11,WOODSIDE AVENUE,11377,7186721414,Chinese,40.74559668,-73.90628672,2
40391639,MCDONALD'S,85,BRUCKNER BOULEVARD,10454,7187421804,Hamburgers,40.80613556,-73.92579752,19.66666667
40394028,SALVI RESTAURANT,4220,QUENTIN ROAD,11234,7182523030,Italian,40.6175657,-73.93225741,11.5
40394555,LUIGI'S RESTAURANT,26521,UNION TURNPIKE,11040,7183477136,Italian,40.74931099,-73.70763395,11
40395774,CARUSO PIZZERIA & RESTAURANT,150,SMITH STREET,11201,7187972300,Pizza,40.68657264,-73.99057823,9.333333333
40395921,GOLDEN PIZZA,504,EAST  138 STREET,10454,7186658328,Pizza,40.8076409,-73.91945984,19.5
40397625,LA VILLA PIZZERIA,6610,AVENUE U,11234,7182518030,Pizza,40.61741375,-73.91079335,14.33333333
40399911,LENNY'S PIZZA,1969,86 STREET,11214,7189461292,Pizza,40.60491031,-73.99874675,16
40401445,IHOP,2101,RALPH AVENUE,11234,7182512262,Pancakes/Waffles,40.62598556,-73.91793271,15
40424488,RENATO'S PASTRY SHOP,1646,FOREST AVENUE,10302,7184426838,Bakery Products/Desserts,40.62489577,-74.14349747,37.66666667
40537963,NEW RUAN'S RESTAURANT,1955,86 STREET,11214,7182668888,Chinese,40.60514087,-73.99913208,23
40551093,GINO'S PIZZA,218,FLATBUSH AVENUE,11217,7182303932,Pizza,40.68108906,-73.97531721,10
40568953,WENDY'S,4416,QUEENS BOULEVARD,11104,7183611418,Hamburgers,40.74332913,-73.92031378,10
40574423,TOPAZE RESTAURANT,428,EAST   48 STREET,11203,7186936328,Caribbean,40.65124146,-73.93229155,10
40593844,THE ORIGINAL PIZZA OF 4TH AVE,6823,4 AVENUE,11220,7188368055,Pizza,40.63509234,-74.02331101,16.5
40597618,TONY'S BRICK OVEN,1140,BAY STREET,10305,7188166516,Pizza,40.61530989,-74.06705234,9
40609677,BURGER KING,20,WILLOW BROOK ROAD,10302,7188159700,Hamburgers,40.62441743,-74.14409803,13.5
40684066,POPEYES,40,EMPIRE BOULEVARD,11225,7182849303,Chicken,40.66325233,-73.96120875,6
40686067,MCDONALD'S,652,MEEKER AVENUE,11222,7184866195,Hamburgers,40.72222317,-73.94055648,13.66666667
40732501,TEQUILITAS MEXICAN RESTAURANT,5213,4 AVENUE,11220,7184924303,Mexican,40.64520564,-74.01387342,11.25
40760795,BARNES & NOBLE CAFE,106,COURT STREET,11201,7182464996,Coffee/Tea,40.69055267,-73.99196235,27.33333333
40859127,GOODY'S SPANISH FOOD,201,PORT RICHMOND AVENUE,10302,7189814650,Spanish,40.63681942,-74.13419855,8.5
40896929,COURT ORDER,52,COURT STREET,11201,7189359300,Sandwiches,40.69225985,-73.99112193,11
40916719,CAFE LA MORENA & DELI,950,3 AVENUE,11232,7187886478,Spanish,40.65543335,-74.00653413,14.25
40949905,KA WAH BAKERY,9,ELDRIDGE STREET,10002,2122260133,Chinese,40.7146601,-73.99377027,20
41047941,SWEETWATER RESTAURANT,105,NORTH    6 STREET,11249,7189630608,American,40.71831756,-73.9599789,13.66666667
41075211,SUSHI GALLERY,71,CLARK STREET,11201,7182220308,Japanese,40.69757664,-73.99343648,2
41076970,DUNKIN,40,EMPIRE BOULEVARD,11225,7182849305,Donuts,40.66325233,-73.96120875,8
41086217,MIKES OLYMPIC GRILL,1637,FOREST AVENUE,10302,7184428685,American,40.62487684,-74.14327048,12
41106672,BOGOTA LATIN BISTRO,141,5 AVENUE,11217,7182303805,Latin American,40.67820507,-73.97923001,7
41127877,BLUE NILE RESTAURANT,621,FLATBUSH AVENUE,11225,7184620461,Caribbean,40.65818246,-73.96043681,39.66666667
41148002,WHAT A BAGEL CAFE,25701,UNION TURNPIKE,11004,7183430303,Bagels/Pretzels,40.74580066,-73.71426465,22
41157590,SEBA-SEBA,9601,ROOSEVELT AVENUE,11368,7188984088,Latin American,40.74917534,-73.86928082,10
41165199,3 WAY RESTAURANT,384,EAST  188 STREET,10458,7182959595,Latin American,40.86002514,-73.89355852,25
41210703,LOS POTRILLOS RESTAURANT,150,PORT RICHMOND AVENUE,10302,7188150440,Mexican,40.63743474,-74.13377824,14.5
41217162,KINARAS INDIAN FOOD,368,MYRTLE AVENUE,11205,7182374008,Indian,40.69318164,-73.97148666,5
41237824,NEW WIN HING III CHINESE RESTAURANT,1282,CLOVE ROAD,10301,7188168888,Chinese,40.61568122,-74.10296714,10.5
41250435,VINNIE'S PIZZERIA,148,BEDFORD AVENUE,11249,7187827078,Pizza,40.71880767,-73.95668859,10.5
41311453,BESO,11,SCHUYLER STREET,10301,7188168162,Spanish,40.64335015,-74.07653952,20.5
41333188,VIVI BUBBLE TEA,49,BAYARD STREET,10013,2125666833,Coffee/Tea,40.71520645,-73.99733782,17.33333333
41370420,DUNKIN,1300,HYLAN BOULEVARD,10305,7186671563,Donuts,40.59658633,-74.08557426,8
41491314,MARIA COFFEE SHOP & RESTAURANT,1185,ROCKAWAY AVENUE,11236,7182726373,Spanish,40.65084134,-73.90594823,15.75
41576082,M & K SPANISH RESTAURANT II,56,RICHMOND TERRACE,10301,7185244651,Latin American,40.64410492,-74.07660164,17.5
41674167,FRANKS PIZZA,8025,FLATLANDS AVENUE,11236,7182518095,Pizza,40.63566829,-73.91303873,11
41713624,BIENVENIDOS AL CALLAO RESTAURANT,111-22,ROOSEVELT AVENUE,11368,7187799400,Peruvian,40.75167843,-73.85543794,10
50000141,BAY BAGELS,6302,BAY PARKWAY,11204,7189753123,American,40.61491337,-73.98032312,7
50000818,SUBWAY,11040,FLATLANDS AVENUE,11207,7182578111,Sandwiches,40.6502078,-73.89102957,14
50005398,PEKING CHINESE RESTAURANT,6978,188TH ST,11365,7183803777,Chinese,40.73418543,-73.78353688,13
50006350,NEW GYRO KING,1267,FOREST AVENUE,10302,7185247875,Mediterranean,40.62634796,-74.13191867,9.5
50009134,SPRING GARDEN RESTAURANT,2689,ATLANTIC AVENUE,11207,7183424865,Chinese,40.67589177,-73.89510813,3
50009731,BON CAFE ET RESTAURANT,4131,QUEENS BLVD,11104,6469633156,Coffee/Tea,40.74366307,-73.92299835,12.5
50012705,HILLSIDE DOSA HUTT,25815,HILLSIDE AVE,11004,7184144780,Vegetarian,40.73699544,-73.7099002,9
50014100,SUBWAY,3976,WHITE PLAINS ROAD,10466,7189944763,Sandwiches,40.88794192,-73.860363,16.5
50016922,MB RESTAURANT,2771,WEBSTER AVENUE,10458,7185643825,African,40.86584503,-73.88607595,13
50037588,BAKERY 88,5711,8 AVENUE,11220,7188538188,Bakery Products/Desserts,40.6370597,-74.00790868,22.33333333
50053100,NEW TUNG HING,5224,4 AVENUE,11220,9176370007,Chinese,40.64516721,-74.01393828,9
50053575,BLUE STORM BILLIARDS & CAFE,13541,37TH AVE,11354,7184616600,Tapas,40.76135695,-73.8316391,2
50054690,NEW YORK CHAN CHINESE RESTAURANT,744,NEW LOTS AVENUE,11207,7182720717,Chinese,40.66625132,-73.88295772,13
50057950,ASTOR PLATE CAFE,26,ASTOR PLACE,10003,9174163314,Coffee/Tea,40.72980556,-73.9911999,4.5
50060461,JIA XIANG KITCHEN,802,56 STREET,11220,7188533988,Chinese,40.63752364,-74.00684943,32
50064645,GYU KAKU,4052,MAIN ST,11354,3475423653,Japanese,40.75844175,-73.82959983,7.5
50067775,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,21873,HEMPSTEAD AVE,11429,5162443949,Caribbean,40.71322736,-73.73559349,8.5
50070576,BROOKLYN ROASTING COMPANY,38,WASHINGTON AVENUE,11205,7188551000,Coffee/Tea,40.6974515,-73.96769097,23
50070612,COCO FRESH TEA & JUICE,182-04,HORACE HARDING EXPRESSWAY,11365,3477324797,Coffee/Tea,40.73918513,-73.79174457,6
50072314,CARVEL,1006,EAST  233 STREET,10466,9145635636,Frozen Desserts,40.89051501,-73.84837136,6
50073316,NEXT LEVEL BURGER,292,ASHLAND PLACE,11217,3473842277,Vegetarian,40.68642822,-73.97814211,9
50073498,REGO BAGELS,9508,63RD DR,11374,7184596265,American,40.72942735,-73.86274943,18.33333333
50079786,JERUSALEM 2,5502,18 AVENUE,11204,7184174992,Pizza,40.62479798,-73.98450256,28.33333333
50080004,ZEYTIN MEDITERRANEAN CUISINE,160,PEARL STREET,10005,2122271908,Mediterranean,40.70576147,-74.00771849,10
50080156,BULL'S EYE SPORTS PUB,2073,FLATBUSH AVENUE,11234,7186279408,American,40.6192433,-73.93317062,12
50086374,TAQUERIA & JUGUERIA,260,BROOK AVENUE,10454,3478621419,Mexican,40.80800558,-73.91893922,32.5
50086972,KENNEDY FRIED CHICKEN,667,EAST  187 STREET,10458,9178012727,Chicken,40.85466542,-73.88575537,12
