CAMIS,Image
50064240,Quality
41645673,Temperature
40604442,Temperature
50017198,Temperature
41566063,Temperature
41161346,Temperature
50002398,Temperature
50069764,Roach
50113613,Others
50087764,Temperature
41703865,Quality
50083955,Roach
41376524,Contamination
50079426,Temperature
50060597,Quality
50067445,Quality
50003874,Temperature
41563809,Temperature
50043812,Sanitation
41040475,Temperature
50077505,Roach
40862803,Contamination
50061025,Others
50041835,Quality
50072341,Others
40483729,Temperature
50008039,Temperature
50084763,Temperature
41534110,Quality
50014686,Quality
41454471,Quality
41671873,Temperature
40758427,Quality
50086162,Sanitation
41598329,Temperature
50033304,Temperature
41196158,Temperature
50082613,Quality
41677130,Sanitation
41100006,Roach
50040374,Quality
50044828,Sanitation
41718530,Temperature
41543738,Temperature
50116169,Sanitation
41056088,Sanitation
40634891,Sanitation
41243693,Quality
41372589,Temperature
50076675,Temperature
50091395,Contamination
41468267,Temperature
50079182,Sanitation
41556827,Temperature
40679269,Temperature
50106710,Temperature
50057566,Contamination
50055645,Temperature
50058248,Temperature
50065505,Rats
50100520,Sanitation
50100631,Quality
50117434,Temperature
40842437,Temperature
50076557,Quality
40537290,Roach
41678997,Temperature
50054369,Sanitation
50123737,Temperature
41695440,Temperature
50097242,Temperature
40962159,Temperature
50098128,Sanitation
50005760,Contamination
40581363,Sanitation
50000872,Quality
50067646,Temperature
41391456,Temperature
41164203,Temperature
50046323,Temperature
50089245,Rats
41672745,Temperature
50047339,Quality
50070543,Temperature
41691247,Temperature
41556098,Temperature
41498611,Roach
40571128,Roach
50051603,Quality
50082931,Contamination
50046232,Temperature
40424906,Temperature
41263597,Temperature
50072930,Temperature
50090854,Sanitation
50064388,Rats
41064708,Contamination
50076485,Temperature
50093303,Temperature
50002936,Temperature
41706664,Sanitation
41583463,Temperature
50122628,Quality
50055591,Temperature
40573101,Quality
50070923,Temperature
41095546,Rats
50083799,Roach
41677328,Temperature
50082664,Quality
50060048,Temperature
50086955,Roach
41411423,Temperature
50111824,Temperature
50113397,Temperature
50040969,Roach
50122395,Temperature
50014027,Sanitation
41687110,Quality
50068183,Quality
50045647,Temperature
50080795,Temperature
41504651,Quality
50063198,Quality
40591271,Temperature
40906355,Roach
50063466,Temperature
50017936,Temperature
50101921,Quality
50012158,Sanitation
50108934,Temperature
50051616,Temperature
50109497,Sanitation
40604004,Temperature
40604004,Temperature
50046158,Quality
50120500,Sanitation
41311307,Quality
50103873,Contamination
50048806,Temperature
40529203,Temperature
50035200,Temperature
41701489,Temperature
50066139,Quality
50005499,Contamination
50008233,Temperature
50045375,Contamination
50044430,Quality
50015637,Sanitation
41031707,Temperature
50059260,Sanitation
50076114,Temperature
50080197,Roach
40396037,Quality
50077940,Temperature
50039363,Quality
50100336,Quality
50069666,Temperature
50078490,Others
50035307,Sanitation
50089510,Temperature
50072825,Quality
50102879,Quality
50056748,Temperature
40895911,Temperature
50086539,Quality
41201169,Temperature
50088344,Temperature
41099430,Temperature
50073722,Temperature
50087474,Temperature
41710310,Temperature
50099512,Temperature
41254923,Contamination
50016142,Temperature
50067958,Contamination
50088958,Sanitation
41243535,Quality
50058445,Quality
41381813,Temperature
41512057,Quality
41105572,Roach
40399422,Others
50066921,Temperature
41110973,Temperature
50049322,Temperature
50121031,Quality
50054666,Temperature
50046232,Temperature
50073585,Temperature
41007533,Temperature
50098429,Temperature
50060168,Temperature
50052660,Temperature
50091865,Temperature
50105206,Rats
41202545,Temperature
50059293,Temperature
40605511,Quality
50074557,Rats
50119654,Temperature
41217329,Temperature
50011814,Roach
50064590,Temperature
50120938,Quality
40860410,Quality
50069432,Temperature
41393099,Quality
50104160,Sanitation
50007610,Quality
50044007,Temperature
50005643,Temperature
50067408,Sanitation
50110089,Sanitation
40624607,Quality
40401841,Temperature
50054344,Sanitation
40384528,Temperature
